000568.SZ,000858.SZ,002007.SZ,002032.SZ,0388.HK,0700.HK,1093.HK,1169.HK,1177.HK,2269.HK,300015.SZ,600009.SH,600161.SH,600519.SH,600809.SH
47.17,65.31,36.08,51.86,226.0,361.0,20.65,21.9,10.46,81.2,31.73,57.47,18.73,687.3,48.97
45.59,64.3,35.52,50.61,230.2,365.4,20.45,21.8,10.22,80.35,32.46,55.83,18.73,681.0,48.64
45.46,63.68,35.6,50.6,229.8,360.8,20.25,21.8,10.32,80.05,32.45,54.71,18.68,685.85,48.53
44.65,63.4,35.03,50.57,228.2,357.4,19.9,21.7,9.99,78.65,31.76,54.83,18.48,680.4,48.02
43.09,61.9,34.07,49.97,223.4,340.0,19.8,20.45,9.94,77.5,31.37,54.88,18.49,659.19,47.3
43.14,61.97,35.38,49.35,222.0,332.8,19.6,20.3,9.65,78.0,31.66,54.3,18.35,666.21,46.48
43.3,62.77,34.85,48.52,224.6,338.6,19.94,20.3,9.98,77.5,31.1,54.3,18.44,675.04,47.64
42.08,60.9,34.34,47.51,219.8,324.8,19.42,19.38,9.65,77.1,30.3,53.9,18.06,657.79,46.19
40.8,59.71,34.65,47.49,217.4,314.6,18.92,19.14,9.44,74.05,29.95,53.1,17.78,644.0,44.58
41.06,60.77,35.26,47.8,216.8,316.8,19.22,19.56,9.24,74.5,30.6,53.07,18.05,650.97,45.83
41.13,60.38,35.25,47.11,214.4,313.6,18.88,19.36,8.97,72.95,30.23,53.03,17.88,644.8,45.49
40.92,61.0,34.98,47.28,211.2,308.0,18.5,19.32,8.76,70.05,30.46,54.53,17.64,646.0,45.25
40.83,59.65,35.17,47.0,209.6,308.4,16.7,18.72,7.5,66.55,28.95,54.1,17.91,630.0,43.8
40.31,59.98,33.87,48.58,218.0,323.8,16.36,19.24,7.38,69.9,28.51,53.43,17.32,631.98,43.21
41.38,61.53,33.54,48.32,221.0,330.0,16.84,19.62,7.43,71.0,28.09,54.05,17.28,642.9,43.03
40.43,61.86,32.94,47.05,217.8,319.2,16.14,19.24,7.13,71.15,28.2,52.87,17.0,645.81,42.86
42.41,63.21,33.95,48.61,220.4,318.0,15.96,19.46,7.32,71.5,29.07,53.0,17.37,666.7,43.6
44.35,64.44,34.41,49.99,224.4,321.6,16.46,20.45,7.51,75.45,29.37,54.81,17.88,681.42,44.6
44.86,64.39,34.4,50.39,225.0,324.2,16.58,21.3,7.39,76.35,28.89,54.49,17.75,678.55,44.12
47.31,66.42,35.18,50.66,229.0,334.4,17.18,21.85,7.72,78.3,29.78,56.6,18.02,700.01,45.55
,,,,224.0,327.8,16.66,21.4,7.54,78.05,,,,,
46.17,65.3,34.9,52.04,,,,,,,29.75,56.63,18.31,697.02,45.02
47.03,67.2,35.09,53.76,227.0,330.0,17.12,20.65,7.58,77.4,31.34,58.06,18.58,724.93,47.06
47.56,67.37,37.67,54.07,226.2,325.4,16.86,20.6,7.45,79.35,31.42,58.29,19.28,724.0,47.3
47.51,67.95,37.9,53.98,224.0,323.2,16.62,21.25,7.3,79.15,32.25,58.77,19.29,730.0,47.29
44.51,63.48,36.9,52.6,210.6,299.0,15.18,19.12,6.51,68.6,31.03,55.7,18.91,686.15,43.47
44.51,63.36,37.45,52.07,210.6,293.8,15.3,19.04,6.55,69.5,31.1,53.83,19.42,695.0,42.73
41.7,60.81,35.85,51.0,208.8,286.4,15.64,18.42,6.55,67.95,30.16,54.47,19.48,670.92,40.07
40.98,58.72,34.99,49.66,196.7,267.0,15.08,17.64,6.19,62.4,29.04,52.9,19.0,644.99,37.25
43.65,60.21,35.6,50.05,201.0,288.4,15.6,18.36,6.51,65.0,30.11,54.61,19.94,668.0,38.0
42.05,58.76,35.95,50.5,199.4,282.8,15.66,18.14,6.73,65.0,29.06,54.05,19.59,666.9,37.14
42.29,58.97,35.36,48.7,199.8,281.4,16.08,17.4,6.67,63.95,29.37,53.4,19.41,667.14,37.13
41.98,59.4,34.2,49.05,,,,,,,29.0,52.68,19.06,665.72,36.35
41.46,58.0,32.59,48.71,202.8,281.0,16.26,17.04,6.58,63.0,27.22,50.15,19.26,645.94,35.88
43.25,59.49,35.39,51.01,209.0,282.0,16.34,17.18,6.68,63.7,28.5,52.78,20.25,670.0,37.36
46.26,62.48,37.91,52.4,216.0,291.2,17.3,18.02,7.39,67.4,30.83,55.8,20.91,693.0,39.95
42.6,58.0,38.26,51.55,209.6,277.8,16.84,17.4,6.91,63.0,29.08,54.8,20.48,641.74,36.8
40.95,56.29,37.45,49.72,211.0,275.8,16.58,17.56,6.99,62.7,28.55,51.9,20.89,636.99,36.5
39.45,54.8,37.1,49.3,210.6,269.0,16.74,16.92,7.1,60.2,27.85,50.74,21.2,619.0,36.33
38.36,54.3,36.65,47.7,208.8,260.0,16.2,16.7,6.84,55.9,27.5,48.6,20.85,610.1,34.95
35.6,48.87,35.09,46.68,205.4,260.0,15.92,16.1,6.62,53.0,26.21,43.74,21.09,549.09,31.46
36.65,47.49,33.08,44.9,204.6,252.2,15.94,16.26,6.73,54.45,26.7,47.8,20.86,524.0,31.5
38.06,48.15,34.12,48.62,208.0,267.0,16.54,16.38,7.03,55.85,27.04,49.55,21.45,548.9,32.34
38.28,49.65,34.53,47.9,213.6,277.8,16.98,16.94,7.38,57.4,27.09,50.17,21.01,563.0,33.1
41.0,53.69,36.71,49.86,227.2,303.6,18.26,18.34,8.19,64.1,29.13,54.2,21.69,599.9,34.84
39.59,51.75,36.9,50.45,221.0,292.4,18.2,17.94,7.93,62.05,28.25,52.2,21.46,575.8,33.84
38.85,50.8,37.34,50.4,221.8,292.0,18.64,17.96,8.21,62.8,28.6,52.15,21.31,566.0,33.65
38.92,50.5,36.3,50.17,224.4,293.4,18.78,17.48,8.19,65.0,28.24,51.2,21.57,566.4,33.49
39.06,50.69,36.2,50.09,227.0,293.6,18.38,17.48,8.1,65.3,27.9,50.26,21.38,570.34,33.55
38.97,50.01,36.0,48.93,221.4,279.2,18.3,17.16,7.89,63.55,27.84,49.64,20.89,562.0,33.15
38.78,50.05,37.15,49.86,222.8,270.6,18.6,17.02,8.01,62.0,28.17,49.57,22.0,552.0,33.21
